Specimen,f1,f2,f3a,f5,f6,f7,f8,f9,f10,f11a,f12,f13a,f19,f20,f21,f22a,f23,f24,f25a,f26,f27,f28a,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,Latitude,Longitude,Country,Ocean,Morphogroup
LAB05-3,10.299,,1.5,5.234,1.648,1.529,3,2.0205,4.835,0.4705,1,0.52,8,9,3,1.11,1,3.5,1,10,13,0.75,0.36,0,1.40725,0.286,40,1.57225,0.4825,1.11425,0.25,0.5,32,20,1,40,30,0.166666667,33.6319,135.3685,Japan,Pacific,Japan
LAB05-2,10.3955,0.65,1.75,5.873666667,1.620333333,1.77,3,1.166,5.427,0.405,1,0.88,8,8,3,1.44,1,4,1,15,13,0.25,0.279333333,0,2.1305,0.255333333,42,2.40125,0.373,0.6265,0,0.25,30,23,1,42,32,0,33.6319,135.3685,Japan,Pacific,Japan
LAB05-1,11.358,0.85,1.5,8.369666667,1.839,1.688,3,0.994,4.8695,0.456,1,1.0675,8,8,1,2.22,1,3,1,14,12,0,0.2815,0,1.93775,0.296,44,2.299,0.24775,0.6025,0,0,30,34,1,44,44,0,33.6319,135.3685,Japan,Pacific,Japan
LAB03,18.184,1.35,0,10.445,3.552,2.4835,3,2.004,8.2715,0.944,1,1.366666667,12,8,3,2.3,1,3.5,1,14.5,13,0.833333333,0.903,0.1795,3.13375,0.5275,60,2.198,0.558,1.086,0.333333333,0.5,36,35.5,1.125,50,45.5,0.25,-23.8213,-45.3958,Brazil-SE,Atlantic,Brazil-SE/S
LAB01,15.387,,0,6.461,2.169666667,2.544333333,3,1.838,7.121,0.61,1,0.89,,,3,2.06,1,3.333333333,1,8,6,1,0.452,0.2175,2.6415,0.327,45,2.285666667,0.782666667,0.8205,0.428571429,0.571428571,40,35,1,45,40,0.285714286,-23.8644,-45.5219,Brazil-SE,Atlantic,Brazil-SE/S
FLMNH8734,17.021,,0,13.164,2.0765,2.676,3,1.225,6.155,0.66,1,,,,,,1,3,1,30,,,0.602,0.297,2.465,,50,2.589,0.267,0.704,,,20,,,50,,,27.872363,-96.958647,USA-GoM-TX,Atlantic,USA-GoM
DP3-8,14.0925,1.93,0,8.364,2.109333333,1.618,2,2.617,5.398,0.569,1,0.8325,8,8,3,1.14,1,2,1,10,9.5,0.75,0.325,0,1.3905,0.4835,24,1.7805,0.98175,1.22725,0.25,0.5,14,16,1,24,23.5,0.125,,,DP-Aq,,Aquarium
DP3-7,15.257,2,0,7.897,2.157666667,1.7585,2,2.7115,5.7775,1.097,2,0.7275,8,8,2,1.18,1,3,1,7,5,0.25,0.346,0.043166667,1.533,0.449,29,2.03525,1.2145,1.1285,0.125,0.125,22,22,1,29,24,0.125,,,DP-Aq,,Aquarium
DP3-6,16.196,1.59,0,9.795666667,2.638666667,1.668,2,3.1145,6.317,0.663,1,0.728,8,8,2,1.15,1,1.5,1,6,3,0.6,0.3865,0,1.60125,0.499,23,2.001,1.1452,1.0512,0.3,0.3,17,17,1.25,23,19,0.25,,,DP-Aq,,Aquarium
DP3-5,13.62,1.8,0,8.056333333,2.04975,1.624,2,2.5545,5.314,0.7955,1,0.7175,8,8,3,1.45,1,1,1,14,12.5,0.125,0.403,0,1.37975,0.47,33,1.90625,1.101,1.076,0.125,0,18,20,1.125,33,32.5,0.25,,,DP-Aq,,Aquarium
DP3-4,15.497,1.56,0,9.4495,2.720666667,1.8135,2,2.9125,6.176,1.696333333,3,0.68,8,8,3,1.17,1,2.5,1,17,7,0.25,0.3945,0,1.63175,0.535,40,2.01125,1.304,1.192,0.125,0.125,21,18.5,1,36.5,22.5,0,,,DP-Aq,,Aquarium
DP3-3,14.4565,1.29,0,8.2915,2.572,1.7415,2,2.3355,5.588,0.823,1,0.77,8,8,3,1.22,1,2,1,8,6.5,0,0.2775,0,1.62625,0.4335,26,1.91275,1.30475,0.8145,0,0,19,7.5,1,25.5,21,0,,,DP-Aq,,Aquarium
DP3-2,16.4945,0.97,0,9.36675,2.37875,1.599,2,2.883,6.418,1.266,2,0.745,8,8,3,1.82,1,2.75,1,6.5,5.5,0,0.302,0,1.7675,0.4715,25,2.296,1.1935,1.207,0,0,18,18,1,24.5,20.5,0,,,DP-Aq,,Aquarium
DP3-1,14.8735,1.08,0,7.48125,2.5436,1.5325,2,2.7415,5.658,1.071,2,0.6133,8,8,2,1.13,1,2.75,1,6,4,0,0.339,0,1.45825,0.487,26,2.00975,1.0755,1.09275,0,0,16,16.5,1,23,19,0,,,DP-Aq,,Aquarium
AMNH2152-2,8.701,,0,,1.157,,2,1.304,3.283,0.462,2,,8,8,,,1,2.5,1,8,7,0,0.084,0,0.9895,0.2085,35,0.854,0.305,0.584,0,0,28,28,1,35,32,0,32.297,-64.825,Bermuda,Atlantic,Atlantic
AMNH2152-1,9.26,,0,4.975,1.093,0.764,2,1.253,3.124,0.334,2,,8,8,,,1,1.5,1,3,2,0,0.1055,0,0.9355,0.151,23,0.692,0.353,0.648,0,0,20,18,1,23,18,0,32.297,-64.825,Bermuda,Atlantic,Atlantic
AMNH1253-2,9.4165,,0,3.392,0.681,0.8485,2,1.1905,2.965,0.3065,2,,8,8,,,1,3,1,13,9.5,0.166666667,0.298333333,0,0.88725,0.252,44,0.889666667,0.422,0.5955,0.166666667,0,25.5,28,1,37,35,0.166666667,8.308804,-79.09309,Panama-W,Pacific,Panama-W
AMNH1253-1,16.691,3.26,3,9.5525,2.167,2.292,3,2.67,7.107,0.527666667,1,1,8,8,1,1.98,1,2.5,1,0.5,5.5,0,0.701,0.237,2.2185,0.406666667,28,2.803666667,0.607,1.483,0,0,28,24.5,1,28,27,0,8.308804,-79.09309,Panama-W,Pacific,Panama-W
AMNH1250,10.325,,3.5,10.45,1.7325,1.0555,3,1.401,6.431,,,,,,,,1,3,1,9,10,0,0.289333333,0,2.515,0.245666667,36,3.165,0.2415,0.8715,0,0,29,30,1,36,38,0,44.4439,-66.067,Canada-NE,Atlantic,Canada-NE
