Specimen,f1,f2,f3a,f5,f6,f7,f8,f9,f10,f11a,f12,f13a,f19,f20,f21,f22a,f23,f24,f25a,f26,f27,f28a,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,Latitude,Longitude,Country,Ocean,Morphogroup
USNM53678-4,2.934,,0,0.945,0.404666667,0.2505,2,0.5965,1.3615,0.303666667,3,,8,8,,,1,3,1,24,28,3,0.082333333,0,0.3825,0.134333333,35,0.4755,0.3045,0.228,1.5,1.5,14,12,1,35,35,0.25,71.387389,-156.482399,USA-Arctic,Arctic,Arctic
USNM53678-3,3.5195,,0,1.113,0.436,0.331,2,0.494,1.582,0.271,2,,8,8,,,1,3,1,27,33.5,3,0.1,0,0.544,0.134,40,0.6715,0.32125,0.13975,1.5,1.5,15,14.5,1,40,45,1,71.387389,-156.482399,USA-Arctic,Arctic,Arctic
USNM53678-2,2.656333333,,0,0.8085,0.298333333,0.2585,2,0.4425,1.349,0.217,2,,8,8,,,1,3,1,24,23,2,0.091,0,0.45325,0.166,36,0.552,0.2125,0.156,1,1,13,12,1,36,33,0.25,71.387389,-156.482399,USA-Arctic,Arctic,Arctic
USNM53678-1,3.2845,,0,0.9635,0.343333333,0.253,2,0.5095,1.3175,0.42675,3,,9,9,,,1,2.5,1,21.5,23,1.5,0.094333333,0,0.404,0.162666667,35,0.49675,0.2805,0.19075,0.75,0.75,13,14,1,33.5,34,0,71.387389,-156.482399,USA-Arctic,Arctic,Arctic
USNM53676,2.954,0.737,0,2.566,0.6355,0.683,2,0.5665,1.3535,0.149,2,0.2613,,,2,0.363,1,1,1,0,0,0,0.19925,0,0.3935,0.201,20,0.44525,0.23625,0.2685,0,0,20,18,1,20,19,0,11.5,162.25,Marshall Islands,Pacific,Marshall Islands
USNM49321-7,2.707,,0,0.819,0.360333333,0.298,2,0.556,1.394,0.445,3,,8,8,,,1,2,1,25,24,2,0.104,0,0.419,0.172333333,35,0.57825,0.296,0.15825,1,1,12,12,1,35,36,0.75,72.186169,-156.589218,USA-Arctic,Arctic,Arctic
USNM49321-6,4.085,,0,1.212666667,0.6235,0.347,2,0.7005,1.746,0.3735,2,,8,8,,,1,3.5,1,45,45,3,0.176333333,0,0.52275,0.226666667,60,0.722,0.30475,0.29975,1.5,1.5,16,16,1,60,60,1,72.186169,-156.589218,USA-Arctic,Arctic,Arctic
USNM49321-5,3.4575,,0,1.0745,0.408666667,0.2645,2,0.6855,1.671,0.6135,4,,8,8,,,1,3.5,1,40,36,2,0.119,0,0.49275,0.189666667,55,0.63925,0.27625,0.30725,1,1,15,14,1.125,55,48,0.5,72.186169,-156.589218,USA-Arctic,Arctic,Arctic
USNM49321-4,3.888,,0,1.403666667,0.566,0.238333333,2,0.6305,1.9345,0.685333333,3,,8,8,,,1,3,1,36,40,0.5,0.100333333,0,0.652,0.171666667,48,0.8915,0.44425,0.20325,0.25,0.25,13,12,1,48,50,0,72.186169,-156.589218,USA-Arctic,Arctic,Arctic
USNM49321-3,3.529,,0,0.996666667,0.469666667,0.265,2,0.6635,1.7435,0.567,3,,8,8,,,1,3,1,34,38,2,0.110333333,0,0.54,0.194666667,46,0.74725,0.30275,0.313,1,1,14,14,1,46,48,0.5,72.186169,-156.589218,USA-Arctic,Arctic,Arctic
USNM49321-2,3.346333333,,0,1.0915,0.345666667,0.234,2,0.708,1.5935,0.5355,4,,8,8,,,1,3,1,35,37,2,0.131666667,0,0.44275,0.206666667,48,0.6055,0.34825,0.25925,1,1,15,15,1,48,48,0.5,72.186169,-156.589218,USA-Arctic,Arctic,Arctic
